collector_number,name,mana_cost,cmc,type_line,rarity,colors,color_identity,oracle_text,power,toughness,loyalty,keywords,set_name,released_at,scryfall_uri
1,Abundant Maw,{8},8.0,Creature — Eldrazi Leech,common,,B,"Emerge {6}{B} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)
When you cast this spell, target opponent loses 3 life and you gain 3 life.",6,4,,Emerge,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/1/abundant-maw?utm_source=api
2,Decimator of the Provinces,{10},10.0,Creature — Eldrazi Boar,rare,,G,"Emerge {6}{G}{G}{G} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)
When you cast this spell, creatures you control get +2/+2 and gain trample until end of turn.
Trample, haste",7,7,,"Emerge, Haste, Trample",Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/2/decimator-of-the-provinces?utm_source=api
3,Distended Mindbender,{8},8.0,Creature — Eldrazi Insect,rare,,B,"Emerge {5}{B}{B} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)
When you cast this spell, target opponent reveals their hand. You choose from it a nonland card with mana value 3 or less and a card with mana value 4 or greater. That player discards those cards.",5,5,,Emerge,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/3/distended-mindbender?utm_source=api
4,Elder Deep-Fiend,{8},8.0,Creature — Eldrazi Octopus,rare,,U,"Flash
Emerge {5}{U}{U} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)
When you cast this spell, tap up to four target permanents.",5,6,,"Emerge, Flash",Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/4/elder-deep-fiend?utm_source=api
5,"Emrakul, the Promised End",{13},13.0,Legendary Creature — Eldrazi,mythic,,,"This spell costs {1} less to cast for each card type among cards in your graveyard.
When you cast this spell, you gain control of target opponent during that player's next turn. After that turn, that player takes an extra turn.
Flying, trample, protection from instants",13,13,,"Flying, Protection, Trample",Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/5/emrakul-the-promised-end?utm_source=api
6,It of the Horrid Swarm,{8},8.0,Creature — Eldrazi Insect,common,,G,"Emerge {6}{G} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)
When you cast this spell, create two 1/1 green Insect creature tokens.",4,4,,Emerge,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/6/it-of-the-horrid-swarm?utm_source=api
7,Wretched Gryff,{7},7.0,Creature — Eldrazi Hippogriff,common,,U,"Emerge {5}{U} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)
When you cast this spell, draw a card.
Flying",3,4,,"Flying, Emerge",Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/7/wretched-gryff?utm_source=api
8,Ambitious Farmhand // Seasoned Cathar,,2.0,Creature — Human Peasant // Creature — Human Knight,uncommon,,W,,,,,"Lifelink, Transform, Coven",Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/8/ambitious-farmhand-seasoned-cathar?utm_source=api
9,Angelic Purge,{2}{W},3.0,Sorcery,common,W,W,"As an additional cost to cast this spell, sacrifice a permanent.
Exile target artifact, creature, or enchantment.",,,,,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/9/angelic-purge?utm_source=api
10,Apothecary Geist,{3}{W},4.0,Creature — Spirit,common,W,W,"Flying
When this creature enters, if you control another Spirit, you gain 3 life.",2,3,,Flying,Innistrad Remastered,2025-01-24,https://scryfall.com/card/inr/10/apothecary-geist?utm_source=api
