collector_number,name,mana_cost,cmc,type_line,rarity,colors,color_identity,oracle_text,power,toughness,loyalty,keywords,set_name,released_at,scryfall_uri
1,Summon: Bahamut,{9},9.0,Enchantment Creature — Saga Dragon,mythic,,,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after IV.)
I, II — Destroy up to one target nonland permanent.
III — Draw two cards.
IV — Mega Flare — This creature deals damage equal to the total mana value of other permanents you control to each opponent.
Flying",9,9,,Flying,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/1/summon:-bahamut?utm_source=api
2,"Ultima, Origin of Oblivion",{5},5.0,Legendary Creature — God,rare,,,"Flying
Whenever Ultima attacks, put a blight counter on target land. For as long as that land has a blight counter on it, it loses all land types and abilities and has ""{T}: Add {C}.""
Whenever you tap a land for {C}, add an additional {C}.",4,4,,Flying,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/2/ultima-origin-of-oblivion?utm_source=api
3,Adelbert Steiner,{1}{W},2.0,Legendary Creature — Human Knight,uncommon,W,W,"Lifelink
Adelbert Steiner gets +1/+1 for each Equipment you control.",2,1,,Lifelink,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/3/adelbert-steiner?utm_source=api
4,Aerith Gainsborough,{2}{W},3.0,Legendary Creature — Human Cleric,rare,W,W,"Lifelink
Whenever you gain life, put a +1/+1 counter on Aerith Gainsborough.
When Aerith Gainsborough dies, put X +1/+1 counters on each legendary creature you control, where X is the number of +1/+1 counters on Aerith Gainsborough.",2,2,,Lifelink,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/4/aerith-gainsborough?utm_source=api
5,Aerith Rescue Mission,{3}{W},4.0,Sorcery,common,W,W,"Choose one —
• Take the Elevator — Create three 1/1 colorless Hero creature tokens.
• Take 59 Flights of Stairs — Tap up to three target creatures. Put a stun counter on one of them. (If a permanent with a stun counter would become untapped, remove one from it instead.)",,,,"Take 59 Flights of Stairs, Take the Elevator",Final Fantasy,2025-06-13,https://scryfall.com/card/fin/5/aerith-rescue-mission?utm_source=api
6,Ambrosia Whiteheart,{1}{W},2.0,Legendary Creature — Bird,uncommon,W,W,"Flash
When Ambrosia Whiteheart enters, you may return another permanent you control to its owner's hand.
Landfall — Whenever a land you control enters, Ambrosia Whiteheart gets +1/+0 until end of turn.",2,2,,"Flash, Landfall",Final Fantasy,2025-06-13,https://scryfall.com/card/fin/6/ambrosia-whiteheart?utm_source=api
7,"Ashe, Princess of Dalmasca",{2}{W},3.0,Legendary Creature — Human Rebel Noble,uncommon,W,W,"Whenever Ashe attacks, look at the top five cards of your library. You may reveal an artifact card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",3,2,,,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/7/ashe-princess-of-dalmasca?utm_source=api
8,Auron's Inspiration,{2}{W},3.0,Instant,uncommon,W,W,"Attacking creatures get +2/+0 until end of turn.
Flashback {2}{W}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,,,Flashback,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/8/aurons-inspiration?utm_source=api
9,Battle Menu,{1}{W},2.0,Instant,uncommon,W,W,"Choose one —
• Attack — Create a 2/2 white Knight creature token.
• Ability — Target creature gets +0/+4 until end of turn.
• Magic — Destroy target creature with power 4 or greater.
• Item — You gain 4 life.",,,,"Attack, Ability, Item, Magic",Final Fantasy,2025-06-13,https://scryfall.com/card/fin/9/battle-menu?utm_source=api
10,"Cloud, Midgar Mercenary",{W}{W},2.0,Legendary Creature — Human Soldier Mercenary,mythic,W,W,"When Cloud enters, search your library for an Equipment card, reveal it, put it into your hand, then shuffle.
As long as Cloud is equipped, if a triggered ability of Cloud or an Equipment attached to it triggers, that ability triggers an additional time.",2,1,,,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/10/cloud-midgar-mercenary?utm_source=api
11,Cloudbound Moogle,{3}{W}{W},5.0,Creature — Moogle,common,W,W,"Flying
When this creature enters, put a +1/+1 counter on target creature.
Plainscycling {2} ({2}, Discard this card: Search your library for a Plains card, reveal it, put it into your hand, then shuffle.)",2,3,,"Flying, Plainscycling, Landcycling, Typecycling, Cycling",Final Fantasy,2025-06-13,https://scryfall.com/card/fin/11/cloudbound-moogle?utm_source=api
12,Coeurl,{1}{W},2.0,Creature — Cat Beast,common,W,W,"{1}{W}, {T}: Tap target nonenchantment creature.",2,2,,,Final Fantasy,2025-06-13,https://scryfall.com/card/fin/12/coeurl?utm_source=api
13,Crystal Fragments // Summon: Alexander,,1.0,Artifact — Equipment // Enchantment Creature — Saga Construct,uncommon,,W,,,,,"Flying, Transform, Equip",Final Fantasy,2025-06-13,https://scryfall.com/card/fin/13/crystal-fragments-summon:-alexander?utm_source=api
