collector_number,name,mana_cost,cmc,type_line,rarity,colors,color_identity,oracle_text,power,toughness,loyalty,keywords,set_name,released_at,scryfall_uri
1,Sire of Seven Deaths,{7},7.0,Creature — Eldrazi,mythic,,,"First strike, vigilance
Menace, trample
Reach, lifelink
Ward—Pay 7 life.",7,7,,"Lifelink, Reach, Vigilance, First strike, Trample, Menace, Ward",Foundations,2024-11-15,https://scryfall.com/card/fdn/1/sire-of-seven-deaths?utm_source=api
2,"Arahbo, the First Fang",{2}{W},3.0,Legendary Creature — Cat Avatar,rare,W,W,"Other Cats you control get +1/+1.
Whenever Arahbo or another nontoken Cat you control enters, create a 1/1 white Cat creature token.",2,2,,,Foundations,2024-11-15,https://scryfall.com/card/fdn/2/arahbo-the-first-fang?utm_source=api
3,Armasaur Guide,{4}{W},5.0,Creature — Dinosaur,common,W,W,"Vigilance (Attacking doesn't cause this creature to tap.)
Whenever you attack with three or more creatures, put a +1/+1 counter on target creature you control.",4,4,,Vigilance,Foundations,2024-11-15,https://scryfall.com/card/fdn/3/armasaur-guide?utm_source=api
4,Cat Collector,{2}{W},3.0,Creature — Human Citizen,uncommon,W,W,"When this creature enters, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
Whenever you gain life for the first time during each of your turns, create a 1/1 white Cat creature token.",3,2,,Food,Foundations,2024-11-15,https://scryfall.com/card/fdn/4/cat-collector?utm_source=api
5,Celestial Armor,{2}{W},3.0,Artifact — Equipment,rare,W,W,"Flash (You may cast this spell any time you could cast an instant.)
When this Equipment enters, attach it to target creature you control. That creature gains hexproof and indestructible until end of turn.
Equipped creature gets +2/+0 and has flying.
Equip {3}{W} ({3}{W}: Attach to target creature you control. Equip only as a sorcery.)",,,,"Equip, Flash",Foundations,2024-11-15,https://scryfall.com/card/fdn/5/celestial-armor?utm_source=api
6,Claws Out,{3}{W}{W},5.0,Instant,uncommon,W,W,"Affinity for Cats (This spell costs {1} less to cast for each Cat you control.)
Creatures you control get +2/+2 until end of turn.",,,,Affinity,Foundations,2024-11-15,https://scryfall.com/card/fdn/6/claws-out?utm_source=api
7,Crystal Barricade,{1}{W},2.0,Artifact Creature — Wall,rare,W,W,"Defender (This creature can't attack.)
You have hexproof. (You can't be the target of spells or abilities your opponents control.)
Prevent all noncombat damage that would be dealt to other creatures you control.",0,4,,Defender,Foundations,2024-11-15,https://scryfall.com/card/fdn/7/crystal-barricade?utm_source=api
8,Dauntless Veteran,{1}{W}{W},3.0,Creature — Human Soldier,uncommon,W,W,"Whenever this creature attacks, creatures you control get +1/+1 until end of turn.",2,2,,,Foundations,2024-11-15,https://scryfall.com/card/fdn/8/dauntless-veteran?utm_source=api
9,Dazzling Angel,{2}{W},3.0,Creature — Angel,common,W,W,"Flying
Whenever another creature you control enters, you gain 1 life.",2,3,,Flying,Foundations,2024-11-15,https://scryfall.com/card/fdn/9/dazzling-angel?utm_source=api
10,Divine Resilience,{W},1.0,Instant,uncommon,W,W,"Kicker {2}{W} (You may pay an additional {2}{W} as you cast this spell.)
Target creature you control gains indestructible until end of turn. If this spell was kicked, instead any number of target creatures you control gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.)",,,,Kicker,Foundations,2024-11-15,https://scryfall.com/card/fdn/10/divine-resilience?utm_source=api
