collector_number,name,mana_cost,cmc,type_line,rarity,colors,color_identity,oracle_text,power,toughness,loyalty,keywords,set_name,released_at,scryfall_uri
1,Anticausal Vestige,{6},6.0,Creature — Eldrazi,rare,,,"When this creature leaves the battlefield, draw a card, then you may put a permanent card with mana value less than or equal to the number of lands you control from your hand onto the battlefield tapped.
Warp {4} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",7,5,,Warp,Edge of Eternities,2025-08-01,https://scryfall.com/card/eoe/1/anticausal-vestige?utm_source=api
2,"Tezzeret, Cruel Captain",{3},3.0,Legendary Planeswalker — Tezzeret,mythic,,,"Whenever an artifact you control enters, put a loyalty counter on Tezzeret.
0: Untap target artifact or creature. If it's an artifact creature, put a +1/+1 counter on it.
−3: Search your library for an artifact card with mana value 1 or less, reveal it, put it into your hand, then shuffle.
−7: You get an emblem with ""At the beginning of combat on your turn, put three +1/+1 counters on target artifact you control. If it's not a creature, it becomes a 0/0 Robot artifact creature.""",,,4,,Edge of Eternities,2025-08-01,https://scryfall.com/card/eoe/2/tezzeret-cruel-captain?utm_source=api
3,All-Fates Stalker,{3}{W},4.0,Creature — Drix Assassin,uncommon,W,W,"When this creature enters, exile up to one target non-Assassin creature until this creature leaves the battlefield.
Warp {1}{W} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",2,3,,Warp,Edge of Eternities,2025-08-01,https://scryfall.com/card/eoe/3/all-fates-stalker?utm_source=api
4,Astelli Reclaimer,{3}{W}{W},5.0,Creature — Angel Warrior,rare,W,W,"Flying
When this creature enters, return target noncreature, nonland permanent card with mana value X or less from your graveyard to the battlefield, where X is the amount of mana spent to cast this creature.
Warp {2}{W}",5,4,,"Flying, Warp",Edge of Eternities,2025-08-01,https://scryfall.com/card/eoe/4/astelli-reclaimer?utm_source=api
5,Auxiliary Boosters,{4}{W},5.0,Artifact — Equipment,common,W,W,"When this Equipment enters, create a 2/2 colorless Robot artifact creature token and attach this Equipment to it.
Equipped creature gets +1/+2 and has flying.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",,,,Equip,Edge of Eternities,2025-08-01,https://scryfall.com/card/eoe/5/auxiliary-boosters?utm_source=api
6,Banishing Light,{2}{W},3.0,Enchantment,common,W,W,"When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield.",,,,,Edge of Eternities,2025-08-01,https://scryfall.com/card/eoe/6/banishing-light?utm_source=api
7,Beyond the Quiet,{3}{W}{W},5.0,Sorcery,rare,W,W,Exile all creatures and Spacecraft.,,,,,Edge of Eternities,2025-08-01,https://scryfall.com/card/eoe/7/beyond-the-quiet?utm_source=api
8,Brightspear Zealot,{2}{W},3.0,Creature — Human Soldier,common,W,W,"Vigilance
This creature gets +2/+0 as long as you've cast two or more spells this turn.",2,4,,Vigilance,Edge of Eternities,2025-08-01,https://scryfall.com/card/eoe/8/brightspear-zealot?utm_source=api
9,Cosmogrand Zenith,{2}{W},3.0,Creature — Human Soldier,mythic,W,W,"Whenever you cast your second spell each turn, choose one —
• Create two 1/1 white Human Soldier creature tokens.
• Put a +1/+1 counter on each creature you control.",2,4,,,Edge of Eternities,2025-08-01,https://scryfall.com/card/eoe/9/cosmogrand-zenith?utm_source=api
10,Dawnstrike Vanguard,{5}{W},6.0,Creature — Human Knight,uncommon,W,W,"Lifelink
At the beginning of your end step, if you control two or more tapped creatures, put a +1/+1 counter on each creature you control other than this creature.",4,5,,Lifelink,Edge of Eternities,2025-08-01,https://scryfall.com/card/eoe/10/dawnstrike-vanguard?utm_source=api
11,Dockworker Drone,{1}{W},2.0,Artifact Creature — Robot,common,W,W,"This creature enters with a +1/+1 counter on it.
When this creature dies, put its counters on target creature you control.",1,1,,,Edge of Eternities,2025-08-01,https://scryfall.com/card/eoe/11/dockworker-drone?utm_source=api
12,Dual-Sun Adepts,{2}{W},3.0,Creature — Human Soldier,uncommon,W,W,"Double strike
{5}: Creatures you control get +1/+1 until end of turn.",2,2,,Double strike,Edge of Eternities,2025-08-01,https://scryfall.com/card/eoe/12/dual-sun-adepts?utm_source=api
13,Dual-Sun Technique,{1}{W},2.0,Instant,uncommon,W,W,"Target creature you control gains double strike until end of turn. If it has a +1/+1 counter on it, draw a card.",,,,,Edge of Eternities,2025-08-01,https://scryfall.com/card/eoe/13/dual-sun-technique?utm_source=api
14,Emergency Eject,{2}{W},3.0,Instant,uncommon,W,W,"Destroy target nonland permanent. Its controller creates a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")",,,,,Edge of Eternities,2025-08-01,https://scryfall.com/card/eoe/14/emergency-eject?utm_source=api
